molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4287845,N#CN[C@H]1CCc2ccc(-c3ncnc4[nH]cc(-c5ccccc5)c34)cc21,10000.0
CHEMBL4292341,N#CN[C@H]1CCc2ccc(-c3ncnc4[nH]cc(-c5cccc(CO)c5)c34)cc21,7843.0
CHEMBL4435170,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,5.0
CHEMBL4587924,CNC(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1cccc(C#N)c1OC,34.0
CHEMBL4530035,CNC(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1cccc(C(=O)O)c1OC,10000.0
CHEMBL4582205,CNC(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1cccc(C(N)=O)c1OC,63.0
CHEMBL4524832,CNC(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1cccc(C(=O)NC)c1OC,78.0
CHEMBL4543090,CNC(=O)c1cccc(Nc2cc(Nc3ccc(F)cn3)ncc2C(=O)NC)c1,7500.0
CHEMBL4581296,CNC(=O)c1cnc(Nc2ccc(F)cn2)cc1Nc1ccc(C(N)=O)cc1OC,930.0
CHEMBL4534832,CNC(=O)c1ccc(Nc2cc(Nc3ccc(F)cn3)ncc2C(=O)NC)c(OC)c1,490.0
CHEMBL4537259,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(N)=O)c1OC,30.0
CHEMBL4468025,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(=O)NC)c1OC,47.0
CHEMBL4441840,CCNC(=O)c1cccc(Nc2cc(Nc3cc(C)c(F)cn3)ncc2C(=O)NC)c1OC,28.0
CHEMBL4577224,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(=O)N(C)C)c1OC,130.0
CHEMBL4527672,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(=O)NCC2CC2)c1OC,64.0
CHEMBL4439617,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(=O)NCCO)c1OC,220.0
CHEMBL4578980,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(=O)NCCN2CCOCC2)c1OC,51.0
CHEMBL4474729,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(C(=O)NCc2ccccn2)c1OC,22.0
CHEMBL4543984,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2nnco2)c1OC,15.0
CHEMBL4443834,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2nnc(C)o2)c1OC,12.0
CHEMBL4566158,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2ccn(C)n2)c1OC,9.0
CHEMBL4572426,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2ccnn2C)c1OC,70.0
CHEMBL4572855,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2nc[nH]n2)c1OC,8.0
CHEMBL4457060,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2n[nH]c(C)n2)c1OC,7.0
CHEMBL4435079,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2nncn2C)c1OC,16.0
CHEMBL4565054,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2ncnn2C)c1OC,15.0
CHEMBL4557190,CNC(=O)c1cnc(Nc2cc(C)c(F)cn2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,4.0
CHEMBL4469750,CNC(=O)c1cnc(Nc2ccc(C#N)cn2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,6.0
CHEMBL4559585,CNC(=O)c1cnc(Nc2ccc(C(F)(F)F)cn2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,12.0
CHEMBL4580625,CNC(=O)c1cnc(Nc2cc(C)nc(C)n2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,12.0
CHEMBL4476261,CNC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,14.0
CHEMBL4571117,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,8.0
CHEMBL4473572,CC(C)(O)CNC(=O)Cc1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CC#N)CC1,257.0
CHEMBL4537718,CC(C)(C#N)CNC(=O)Cc1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CC#N)CC1,39.0
CHEMBL4563534,N#CCCNC(=O)Cc1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](CC#N)CC1,65.0
CHEMBL4535276,O=C(C1CC1)N1[C@@H]2CC[C@@H]1CN(c1nc(Nc3cnn(CCO)c3)ncc1F)C2,75.0
